tag_id	timestamp	anchor_id	tof_ns	distance_m	pos_x	pos_y	pos_confidence_pct	status
TAG_001	2025-01-01T08:00:01Z	A01	10.62285	3.18465	    1.912	2.291	88.12	parado
TAG_001	2025-01-01T08:00:01Z	A02	127.106	    38.10543	1.912	2.291	88.12	parado
TAG_001	2025-01-01T08:00:01Z	A03	72.66587	21.78468	1.912	2.291	88.12	parado
TAG_001	2025-01-01T08:00:01Z	A04	146.4107	43.89282	1.912	2.291	88.12	parado
TAG_001	2025-01-01T08:00:01Z	A05	32.73001	9.81221	    1.912	2.291	88.12	parado
TAG_001	2025-01-01T08:00:01Z	A06	131.2667	39.35277	1.912	2.291	88.12	parado
TAG_001	2025-01-01T08:00:01Z	A07	60.95066	18.27255	1.912	2.291	88.12	parado
TAG_001	2025-01-01T08:00:01Z	A08	94.23681	28.25148	1.912	2.291	88.12	parado
TAG_002	2025-01-01T08:00:02Z	A01	20.92536	6.273265	3.075	5.428	65.61	parado
TAG_002	2025-01-01T08:00:02Z	A02	124.6229	37.36102	3.075	5.428	65.61	parado
TAG_002	2025-01-01T08:00:02Z	A03	62.50046	18.73717	3.075	5.428	65.61	parado
TAG_002	2025-01-01T08:00:02Z	A04	138.0003	41.37144	3.075	5.428	65.61	parado
TAG_002	2025-01-01T08:00:02Z	A05	24.62701	7.382993	3.075	5.428	65.61	parado
TAG_002	2025-01-01T08:00:02Z	A06	124.9111	37.44739	3.075	5.428	65.61	parado
TAG_002	2025-01-01T08:00:02Z	A07	58.99878	17.68739	3.075	5.428	65.61	parado
TAG_002	2025-01-01T08:00:02Z	A08	84.01991	25.18854	3.075	5.428	65.61	parado
TAG_003	2025-01-01T08:00:03Z	A01	31.17043	9.344659	4.207	8.342	86.23	parado
TAG_003	2025-01-01T08:00:03Z	A02	122.6861	36.78038	4.207	8.342	86.23	parado
TAG_003	2025-01-01T08:00:03Z	A03	54.66898	16.38935	4.207	8.342	86.23	parado
TAG_003	2025-01-01T08:00:03Z	A04	130.0166	38.97801	4.207	8.342	86.23	parado
TAG_003	2025-01-01T08:00:03Z	A05	17.57816	5.269799	4.207	8.342	86.23	parado
TAG_003	2025-01-01T08:00:03Z	A06	119.9278	35.95345	4.207	8.342	86.23	parado
TAG_003	2025-01-01T08:00:03Z	A07	60.4802	    18.13151	4.207	8.342	86.23	parado
TAG_003	2025-01-01T08:00:03Z	A08	74.48142	22.32897	4.207	8.342	86.23	parado
TAG_004	2025-01-01T08:00:04Z	A01	41.59857	12.47094	5.185	11.302	87.23	parado
TAG_004	2025-01-01T08:00:04Z	A02	121.9396	36.55656	5.185	11.302	87.23	parado
TAG_004	2025-01-01T08:00:04Z	A03	45.81864	13.73608	5.185	11.302	87.23	parado
TAG_004	2025-01-01T08:00:04Z	A04	123.8243	37.12159	5.185	11.302	87.23	parado
TAG_004	2025-01-01T08:00:04Z	A05	17.1522	    5.1421	    5.185	11.302	87.23	parado
TAG_004	2025-01-01T08:00:04Z	A06	116.4173	34.90102	5.185	11.302	87.23	parado
TAG_004	2025-01-01T08:00:04Z	A07	61.92594	18.56493	5.185	11.302	87.23	parado
TAG_004	2025-01-01T08:00:04Z	A08	64.74532	19.41016	5.185	11.302	87.23	parado
TAG_005	2025-01-01T08:00:05Z	A01	51.61958	15.47516	6.473	14.232	92.61	parado
TAG_005	2025-01-01T08:00:05Z	A02	121.2897	36.36175	6.473	14.232	92.61	parado
TAG_005	2025-01-01T08:00:05Z	A03	38.62749	11.58023	6.473	14.232	92.61	parado
TAG_005	2025-01-01T08:00:05Z	A04	115.9702	34.767	    6.473	14.232	92.61	parado
TAG_005	2025-01-01T08:00:05Z	A05	22.92341	6.872267	6.473	14.232	92.61	parado
TAG_005	2025-01-01T08:00:05Z	A06	111.7368	33.49786	6.473	14.232	92.61	parado
TAG_005	2025-01-01T08:00:05Z	A07	66.08356	19.81135	6.473	14.232	92.61	parado
TAG_005	2025-01-01T08:00:05Z	A08	55.37869	16.60211	6.473	14.232	92.61	parado
TAG_006	2025-01-01T08:00:06Z	A01	61.23844512	18.35491243	7.511	17.021	80.43	parado
TAG_006	2025-01-01T08:00:06Z	A02	118.3928455	35.46731291	7.511	17.021	80.43	parado
TAG_006	2025-01-01T08:00:06Z	A03	42.91833361	12.85014672	7.511	17.021	80.43	parado
TAG_006	2025-01-01T08:00:06Z	A04	121.9328459	36.50019238	7.511	17.021	80.43	parado
TAG_006	2025-01-01T08:00:06Z	A05	20.48192341	6.20132985	7.511	17.021	80.43	parado
TAG_006	2025-01-01T08:00:06Z	A06	109.2981528	32.82836411	7.511	17.021	80.43	parado
TAG_006	2025-01-01T08:00:06Z	A07	70.12233487	21.05928472	7.511	17.021	80.43	parado
TAG_006	2025-01-01T08:00:06Z	A08	58.82341995	17.65289347	7.511	17.021	80.43	parado
TAG_007	2025-01-01T08:00:07Z	A01	68.29941528	20.48614329	8.649	20.745	92.61	parado
TAG_007	2025-01-01T08:00:07Z	A02	115.7628934	34.70349184	8.649	20.745	92.61	parado
TAG_007	2025-01-01T08:00:07Z	A03	36.82491349	11.04538922	8.649	20.745	92.61	parado
TAG_007	2025-01-01T08:00:07Z	A04	112.4982317	33.73649285	8.649	20.745	92.61	parado
TAG_007	2025-01-01T08:00:07Z	A05	24.29183495	7.28194852	8.649	20.745	92.61	parado
TAG_007	2025-01-01T08:00:07Z	A06	106.3912845	31.96019372	8.649	20.745	92.61	parado
TAG_007	2025-01-01T08:00:07Z	A07	65.92847124	20.17928495	8.649	20.745	92.61	parado
TAG_007	2025-01-01T08:00:07Z	A08	51.72384281	15.93281933	8.649	20.745	92.61	parado
TAG_008	2025-01-01T08:00:08Z	A01	72.18439591	21.63928394	20.773	11.302	71.50	parado
TAG_008	2025-01-01T08:00:08Z	A02	113.2871935	33.93847123	20.773	11.302	71.50	parado
TAG_008	2025-01-01T08:00:08Z	A03	40.98217438	12.27849384	20.773	11.302	71.50	parado
TAG_008	2025-01-01T08:00:08Z	A04	118.9328719	35.60023918	20.773	11.302	71.50	parado
TAG_008	2025-01-01T08:00:08Z	A05	19.28419482	5.77582193	20.773	11.302	71.50	parado
TAG_008	2025-01-01T08:00:08Z	A06	110.2384913	33.01837295	20.773	11.302	71.50	parado
TAG_008	2025-01-01T08:00:08Z	A07	69.12347193	20.70483912	20.773	11.302	71.50	parado
